key=value,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:3
key=prove   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:5, MapReduceAssignment/test3:18
key=stronger   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:2, MapReduceAssignment/test3:7
key=pawns,   value=MapReduceAssignment/test1:16
key=queen.   value=MapReduceAssignment/test1:5
key=changed   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:3, MapReduceAssignment/test3:10
key=_defensive_   value=MapReduceAssignment/test1:1
key=sometimes   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:6, MapReduceAssignment/test3:143
key=reached   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:21
key=them   value=MapReduceAssignment/test1:21, MapReduceAssignment/test2:131, MapReduceAssignment/test3:403
key=open   value=MapReduceAssignment/test1:19, MapReduceAssignment/test2:40, MapReduceAssignment/test3:60
key=theoretically   value=MapReduceAssignment/test1:3
key={26}   value=MapReduceAssignment/test1:1
key=reply   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:1, MapReduceAssignment/test3:7
key=out_,   value=MapReduceAssignment/test1:1
key=replies   value=MapReduceAssignment/test1:3
key=5...b   value=MapReduceAssignment/test1:1
key=point_.   value=MapReduceAssignment/test1:1
key=object,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:2
key=view   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:5, MapReduceAssignment/test3:50
key=analysis   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:1
key=7...b   value=MapReduceAssignment/test1:1
key=first,   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:2, MapReduceAssignment/test3:29
key=exceptional   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:6
key=second,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1, MapReduceAssignment/test3:3
key=doubled   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:1
key=puts   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:1, MapReduceAssignment/test3:6
key=initiative_,   value=MapReduceAssignment/test1:2
key=expounded   value=MapReduceAssignment/test1:3
key=mind   value=MapReduceAssignment/test1:15, MapReduceAssignment/test2:23, MapReduceAssignment/test3:52
key=secure   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:1, MapReduceAssignment/test3:7
key=viz.,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:1
key=respectively,   value=MapReduceAssignment/test1:3
key=importance._   value=MapReduceAssignment/test1:1
key={29}   value=MapReduceAssignment/test1:1
key=sole   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1, MapReduceAssignment/test3:9
key=initiative.   value=MapReduceAssignment/test1:3
key=understood.   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:4
key=present   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:10, MapReduceAssignment/test3:134
