key=whether   value=MapReduceAssignment/test1:13, MapReduceAssignment/test2:7
key=an   value=MapReduceAssignment/test1:91, MapReduceAssignment/test2:178
key=e.g.   value=MapReduceAssignment/test1:3
key=combines   value=MapReduceAssignment/test1:1
key=easiest   value=MapReduceAssignment/test1:1
key=following   value=MapReduceAssignment/test1:35, MapReduceAssignment/test2:13
key=begin   value=MapReduceAssignment/test1:13, MapReduceAssignment/test2:10
key=queen,   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:1
key=limit   value=MapReduceAssignment/test1:2
key=5;   value=MapReduceAssignment/test1:17
key=(should   value=MapReduceAssignment/test1:1
key=(if   value=MapReduceAssignment/test1:19, MapReduceAssignment/test2:1
key=moves;   value=MapReduceAssignment/test1:3
key=board;   value=MapReduceAssignment/test1:2
key=being   value=MapReduceAssignment/test1:14, MapReduceAssignment/test2:53
key=powerful   value=MapReduceAssignment/test1:9, MapReduceAssignment/test2:3
key=process   value=MapReduceAssignment/test1:2
key=easier   value=MapReduceAssignment/test1:5
key=elementary   value=MapReduceAssignment/test1:4
key=each   value=MapReduceAssignment/test1:12, MapReduceAssignment/test2:14
key=needed.   value=MapReduceAssignment/test1:1
key=least   value=MapReduceAssignment/test1:16, MapReduceAssignment/test2:10
key=gain   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:1
key=material   value=MapReduceAssignment/test1:18
key=obtained   value=MapReduceAssignment/test1:10
key=sufficient   value=MapReduceAssignment/test1:10, MapReduceAssignment/test2:2
key=even   value=MapReduceAssignment/test1:27, MapReduceAssignment/test2:37
key=unit,   value=MapReduceAssignment/test1:1
key=kings.   value=MapReduceAssignment/test1:2
key=speaking   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:7
key=intervening   value=MapReduceAssignment/test1:7
key=directly   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:3
key=won.   value=MapReduceAssignment/test1:2
key=examples   value=MapReduceAssignment/test1:12
key=drawn,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=done,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:3
key=kept   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:30
key=very   value=MapReduceAssignment/test1:100, MapReduceAssignment/test2:78
key=move.   value=MapReduceAssignment/test1:25, MapReduceAssignment/test2:2
key=shown   value=MapReduceAssignment/test1:23, MapReduceAssignment/test2:1
key=close   value=MapReduceAssignment/test1:10, MapReduceAssignment/test2:21
key=again   value=MapReduceAssignment/test1:16, MapReduceAssignment/test2:48
key=comes   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:16
