key=mastership   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:2
key=convenient   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:5
key=reason   value=MapReduceAssignment/test1:14, MapReduceAssignment/test3:13, MapReduceAssignment/test2:13
key=thus   value=MapReduceAssignment/test1:32, MapReduceAssignment/test3:42, MapReduceAssignment/test2:2
key={17}   value=MapReduceAssignment/test1:1
key=shown.   value=MapReduceAssignment/test1:2
key=result   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:26
key=board   value=MapReduceAssignment/test1:15, MapReduceAssignment/test3:9, MapReduceAssignment/test2:4
key=sides   value=MapReduceAssignment/test1:8, MapReduceAssignment/test3:8, MapReduceAssignment/test2:3
key=_act   value=MapReduceAssignment/test1:1
key=forces_.   value=MapReduceAssignment/test1:1
key=generally   value=MapReduceAssignment/test1:20, MapReduceAssignment/test3:55
key=........   value=MapReduceAssignment/test1:131
key=considers   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:1
key=stopped   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:2, MapReduceAssignment/test2:6
key=single   value=MapReduceAssignment/test1:5, MapReduceAssignment/test3:41, MapReduceAssignment/test2:2
key=typical   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:19
key=up.   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:12, MapReduceAssignment/test2:7
key=explained,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=anxious   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:6, MapReduceAssignment/test2:2
key=devote   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:5
key=arise   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:8, MapReduceAssignment/test2:2
key=beauty   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:52, MapReduceAssignment/test2:1
key=threatens   value=MapReduceAssignment/test1:21
